...1,geo_type,region,transportation_type,alternative_name,sub.region,country,Date,Mobility_value
174,city,Anchorage,driving,NA,Alaska,United States,X2020.01.13,100
174,city,Anchorage,driving,NA,Alaska,United States,X2020.01.14,105.32
174,city,Anchorage,driving,NA,Alaska,United States,X2020.01.15,105.99
174,city,Anchorage,driving,NA,Alaska,United States,X2020.01.16,111.03
174,city,Anchorage,driving,NA,Alaska,United States,X2020.01.17,126.49
174,city,Anchorage,driving,NA,Alaska,United States,X2020.01.18,116.76
174,city,Anchorage,driving,NA,Alaska,United States,X2020.01.19,86.25
174,city,Anchorage,driving,NA,Alaska,United States,X2020.01.20,95.69
174,city,Anchorage,driving,NA,Alaska,United States,X2020.01.21,105.11
174,city,Anchorage,driving,NA,Alaska,United States,X2020.01.22,104.94
174,city,Anchorage,driving,NA,Alaska,United States,X2020.01.23,106.87
174,city,Anchorage,driving,NA,Alaska,United States,X2020.01.24,123.88
174,city,Anchorage,driving,NA,Alaska,United States,X2020.01.25,114.35
174,city,Anchorage,driving,NA,Alaska,United States,X2020.01.26,81.75
174,city,Anchorage,driving,NA,Alaska,United States,X2020.01.27,98.13
174,city,Anchorage,driving,NA,Alaska,United States,X2020.01.28,98.05
174,city,Anchorage,driving,NA,Alaska,United States,X2020.01.29,104.12
174,city,Anchorage,driving,NA,Alaska,United States,X2020.01.30,106.16
174,city,Anchorage,driving,NA,Alaska,United States,X2020.01.31,122.86
174,city,Anchorage,driving,NA,Alaska,United States,X2020.02.01,115.03
174,city,Anchorage,driving,NA,Alaska,United States,X2020.02.02,79.32
174,city,Anchorage,driving,NA,Alaska,United States,X2020.02.03,102.84
174,city,Anchorage,driving,NA,Alaska,United States,X2020.02.04,102.53
174,city,Anchorage,driving,NA,Alaska,United States,X2020.02.05,109.66
174,city,Anchorage,driving,NA,Alaska,United States,X2020.02.06,114.82
174,city,Anchorage,driving,NA,Alaska,United States,X2020.02.07,131.74
174,city,Anchorage,driving,NA,Alaska,United States,X2020.02.08,119.45
174,city,Anchorage,driving,NA,Alaska,United States,X2020.02.09,90.37
174,city,Anchorage,driving,NA,Alaska,United States,X2020.02.10,102.81
174,city,Anchorage,driving,NA,Alaska,United States,X2020.02.11,108.26
174,city,Anchorage,driving,NA,Alaska,United States,X2020.02.12,106.66
174,city,Anchorage,driving,NA,Alaska,United States,X2020.02.13,120.72
174,city,Anchorage,driving,NA,Alaska,United States,X2020.02.14,144.93
174,city,Anchorage,driving,NA,Alaska,United States,X2020.02.15,124.58
174,city,Anchorage,driving,NA,Alaska,United States,X2020.02.16,96.39
174,city,Anchorage,driving,NA,Alaska,United States,X2020.02.17,105.7
174,city,Anchorage,driving,NA,Alaska,United States,X2020.02.18,105.34
174,city,Anchorage,driving,NA,Alaska,United States,X2020.02.19,110.4
174,city,Anchorage,driving,NA,Alaska,United States,X2020.02.20,114.96
174,city,Anchorage,driving,NA,Alaska,United States,X2020.02.21,133.04
174,city,Anchorage,driving,NA,Alaska,United States,X2020.02.22,128.69
174,city,Anchorage,driving,NA,Alaska,United States,X2020.02.23,92.23
174,city,Anchorage,driving,NA,Alaska,United States,X2020.02.24,111.47
174,city,Anchorage,driving,NA,Alaska,United States,X2020.02.25,113.36
174,city,Anchorage,driving,NA,Alaska,United States,X2020.02.26,114.92
174,city,Anchorage,driving,NA,Alaska,United States,X2020.02.27,120.72
174,city,Anchorage,driving,NA,Alaska,United States,X2020.02.28,142
174,city,Anchorage,driving,NA,Alaska,United States,X2020.02.29,133.59
174,city,Anchorage,driving,NA,Alaska,United States,X2020.03.01,93.78
174,city,Anchorage,driving,NA,Alaska,United States,X2020.03.02,112.97
174,city,Anchorage,driving,NA,Alaska,United States,X2020.03.03,109.27
174,city,Anchorage,driving,NA,Alaska,United States,X2020.03.04,113.55
174,city,Anchorage,driving,NA,Alaska,United States,X2020.03.05,120.82
174,city,Anchorage,driving,NA,Alaska,United States,X2020.03.06,141.4
174,city,Anchorage,driving,NA,Alaska,United States,X2020.03.07,133.68
174,city,Anchorage,driving,NA,Alaska,United States,X2020.03.08,96.2
174,city,Anchorage,driving,NA,Alaska,United States,X2020.03.09,116.31
174,city,Anchorage,driving,NA,Alaska,United States,X2020.03.10,115.36
174,city,Anchorage,driving,NA,Alaska,United States,X2020.03.11,117.92
174,city,Anchorage,driving,NA,Alaska,United States,X2020.03.12,116.49
174,city,Anchorage,driving,NA,Alaska,United States,X2020.03.13,123.28
174,city,Anchorage,driving,NA,Alaska,United States,X2020.03.14,107.72
174,city,Anchorage,driving,NA,Alaska,United States,X2020.03.15,78.49
174,city,Anchorage,driving,NA,Alaska,United States,X2020.03.16,90.77
174,city,Anchorage,driving,NA,Alaska,United States,X2020.03.17,89.92
174,city,Anchorage,driving,NA,Alaska,United States,X2020.03.18,80.92
174,city,Anchorage,driving,NA,Alaska,United States,X2020.03.19,77.66
174,city,Anchorage,driving,NA,Alaska,United States,X2020.03.20,86.23
174,city,Anchorage,driving,NA,Alaska,United States,X2020.03.21,70.21
174,city,Anchorage,driving,NA,Alaska,United States,X2020.03.22,61.61
174,city,Anchorage,driving,NA,Alaska,United States,X2020.03.23,63.7
174,city,Anchorage,driving,NA,Alaska,United States,X2020.03.24,64.81
174,city,Anchorage,driving,NA,Alaska,United States,X2020.03.25,64.03
174,city,Anchorage,driving,NA,Alaska,United States,X2020.03.26,66.73
174,city,Anchorage,driving,NA,Alaska,United States,X2020.03.27,71.43
174,city,Anchorage,driving,NA,Alaska,United States,X2020.03.28,62.05
174,city,Anchorage,driving,NA,Alaska,United States,X2020.03.29,47.95
174,city,Anchorage,driving,NA,Alaska,United States,X2020.03.30,62.69
174,city,Anchorage,driving,NA,Alaska,United States,X2020.03.31,64.63
174,city,Anchorage,driving,NA,Alaska,United States,X2020.04.01,66.44
174,city,Anchorage,driving,NA,Alaska,United States,X2020.04.02,62.01
174,city,Anchorage,driving,NA,Alaska,United States,X2020.04.03,73.66
174,city,Anchorage,driving,NA,Alaska,United States,X2020.04.04,64.97
174,city,Anchorage,driving,NA,Alaska,United States,X2020.04.05,54.08
174,city,Anchorage,driving,NA,Alaska,United States,X2020.04.06,66.74
174,city,Anchorage,driving,NA,Alaska,United States,X2020.04.07,67.89
174,city,Anchorage,driving,NA,Alaska,United States,X2020.04.08,67.9
174,city,Anchorage,driving,NA,Alaska,United States,X2020.04.09,71.87
174,city,Anchorage,driving,NA,Alaska,United States,X2020.04.10,81.12
174,city,Anchorage,driving,NA,Alaska,United States,X2020.04.11,76.6
174,city,Anchorage,driving,NA,Alaska,United States,X2020.04.12,47.23
174,city,Anchorage,driving,NA,Alaska,United States,X2020.04.13,69.03
174,city,Anchorage,driving,NA,Alaska,United States,X2020.04.14,75.12
174,city,Anchorage,driving,NA,Alaska,United States,X2020.04.15,82.04
174,city,Anchorage,driving,NA,Alaska,United States,X2020.04.16,82.65
174,city,Anchorage,driving,NA,Alaska,United States,X2020.04.17,94.62
174,city,Anchorage,driving,NA,Alaska,United States,X2020.04.18,86.79
174,city,Anchorage,driving,NA,Alaska,United States,X2020.04.19,67.63
174,city,Anchorage,driving,NA,Alaska,United States,X2020.04.20,82.42
174,city,Anchorage,driving,NA,Alaska,United States,X2020.04.21,84.64
174,city,Anchorage,driving,NA,Alaska,United States,X2020.04.22,90.44
174,city,Anchorage,driving,NA,Alaska,United States,X2020.04.23,91.08
174,city,Anchorage,driving,NA,Alaska,United States,X2020.04.24,103.09
174,city,Anchorage,driving,NA,Alaska,United States,X2020.04.25,101.44
174,city,Anchorage,driving,NA,Alaska,United States,X2020.04.26,80.86
174,city,Anchorage,driving,NA,Alaska,United States,X2020.04.27,101.87
174,city,Anchorage,driving,NA,Alaska,United States,X2020.04.28,102.66
174,city,Anchorage,driving,NA,Alaska,United States,X2020.04.29,107.73
174,city,Anchorage,driving,NA,Alaska,United States,X2020.04.30,111.24
174,city,Anchorage,driving,NA,Alaska,United States,X2020.05.01,125.39
174,city,Anchorage,driving,NA,Alaska,United States,X2020.05.02,114.56
174,city,Anchorage,driving,NA,Alaska,United States,X2020.05.03,92.36
174,city,Anchorage,driving,NA,Alaska,United States,X2020.05.04,109.4
174,city,Anchorage,driving,NA,Alaska,United States,X2020.05.05,116.67
174,city,Anchorage,driving,NA,Alaska,United States,X2020.05.06,118.11
174,city,Anchorage,driving,NA,Alaska,United States,X2020.05.07,118.46
174,city,Anchorage,driving,NA,Alaska,United States,X2020.05.08,134.26
174,city,Anchorage,driving,NA,Alaska,United States,X2020.05.09,128.55
174,city,Anchorage,driving,NA,Alaska,United States,X2020.05.10,93.72
174,city,Anchorage,driving,NA,Alaska,United States,X2020.05.11,NA
174,city,Anchorage,driving,NA,Alaska,United States,X2020.05.12,NA
174,city,Anchorage,driving,NA,Alaska,United States,X2020.05.13,130.35
174,city,Anchorage,driving,NA,Alaska,United States,X2020.05.14,136.85
174,city,Anchorage,driving,NA,Alaska,United States,X2020.05.15,159.28
174,city,Anchorage,driving,NA,Alaska,United States,X2020.05.16,141.54
174,city,Anchorage,driving,NA,Alaska,United States,X2020.05.17,112.28
174,city,Anchorage,driving,NA,Alaska,United States,X2020.05.18,133.87
174,city,Anchorage,driving,NA,Alaska,United States,X2020.05.19,141.26
174,city,Anchorage,driving,NA,Alaska,United States,X2020.05.20,149.05
174,city,Anchorage,driving,NA,Alaska,United States,X2020.05.21,143.76
174,city,Anchorage,driving,NA,Alaska,United States,X2020.05.22,166.9
174,city,Anchorage,driving,NA,Alaska,United States,X2020.05.23,133.82
174,city,Anchorage,driving,NA,Alaska,United States,X2020.05.24,103.12
174,city,Anchorage,driving,NA,Alaska,United States,X2020.05.25,110.55
174,city,Anchorage,driving,NA,Alaska,United States,X2020.05.26,142.73
174,city,Anchorage,driving,NA,Alaska,United States,X2020.05.27,152.52
174,city,Anchorage,driving,NA,Alaska,United States,X2020.05.28,158.93
174,city,Anchorage,driving,NA,Alaska,United States,X2020.05.29,172.77
174,city,Anchorage,driving,NA,Alaska,United States,X2020.05.30,147.03
174,city,Anchorage,driving,NA,Alaska,United States,X2020.05.31,117.12
174,city,Anchorage,driving,NA,Alaska,United States,X2020.06.01,148.58
174,city,Anchorage,driving,NA,Alaska,United States,X2020.06.02,154.59
174,city,Anchorage,driving,NA,Alaska,United States,X2020.06.03,158.49
174,city,Anchorage,driving,NA,Alaska,United States,X2020.06.04,165.35
174,city,Anchorage,driving,NA,Alaska,United States,X2020.06.05,183.29
174,city,Anchorage,driving,NA,Alaska,United States,X2020.06.06,163.23
174,city,Anchorage,driving,NA,Alaska,United States,X2020.06.07,132.3
174,city,Anchorage,driving,NA,Alaska,United States,X2020.06.08,154.04
174,city,Anchorage,driving,NA,Alaska,United States,X2020.06.09,157.65
174,city,Anchorage,driving,NA,Alaska,United States,X2020.06.10,167.27
174,city,Anchorage,driving,NA,Alaska,United States,X2020.06.11,170.48
174,city,Anchorage,driving,NA,Alaska,United States,X2020.06.12,191.7
174,city,Anchorage,driving,NA,Alaska,United States,X2020.06.13,169.8
174,city,Anchorage,driving,NA,Alaska,United States,X2020.06.14,144.89
174,city,Anchorage,driving,NA,Alaska,United States,X2020.06.15,167.71
174,city,Anchorage,driving,NA,Alaska,United States,X2020.06.16,169.46
174,city,Anchorage,driving,NA,Alaska,United States,X2020.06.17,168.12
174,city,Anchorage,driving,NA,Alaska,United States,X2020.06.18,174.1
174,city,Anchorage,driving,NA,Alaska,United States,X2020.06.19,187.77
174,city,Anchorage,driving,NA,Alaska,United States,X2020.06.20,168.65
174,city,Anchorage,driving,NA,Alaska,United States,X2020.06.21,131.28
174,city,Anchorage,driving,NA,Alaska,United States,X2020.06.22,168.23
174,city,Anchorage,driving,NA,Alaska,United States,X2020.06.23,166.94
174,city,Anchorage,driving,NA,Alaska,United States,X2020.06.24,177.58
174,city,Anchorage,driving,NA,Alaska,United States,X2020.06.25,181.42
174,city,Anchorage,driving,NA,Alaska,United States,X2020.06.26,194.69
174,city,Anchorage,driving,NA,Alaska,United States,X2020.06.27,185.37
174,city,Anchorage,driving,NA,Alaska,United States,X2020.06.28,139
174,city,Anchorage,driving,NA,Alaska,United States,X2020.06.29,170.43
174,city,Anchorage,driving,NA,Alaska,United States,X2020.06.30,181.46
174,city,Anchorage,driving,NA,Alaska,United States,X2020.07.01,196.78
174,city,Anchorage,driving,NA,Alaska,United States,X2020.07.02,198.13
174,city,Anchorage,driving,NA,Alaska,United States,X2020.07.03,188.49
174,city,Anchorage,driving,NA,Alaska,United States,X2020.07.04,143.12
174,city,Anchorage,driving,NA,Alaska,United States,X2020.07.05,143.81
174,city,Anchorage,driving,NA,Alaska,United States,X2020.07.06,181.62
174,city,Anchorage,driving,NA,Alaska,United States,X2020.07.07,186.86
174,city,Anchorage,driving,NA,Alaska,United States,X2020.07.08,178.87
174,city,Anchorage,driving,NA,Alaska,United States,X2020.07.09,189.29
174,city,Anchorage,driving,NA,Alaska,United States,X2020.07.10,210.69
174,city,Anchorage,driving,NA,Alaska,United States,X2020.07.11,187.16
174,city,Anchorage,driving,NA,Alaska,United States,X2020.07.12,151.93
174,city,Anchorage,driving,NA,Alaska,United States,X2020.07.13,186.64
174,city,Anchorage,driving,NA,Alaska,United States,X2020.07.14,192.95
174,city,Anchorage,driving,NA,Alaska,United States,X2020.07.15,203.3
174,city,Anchorage,driving,NA,Alaska,United States,X2020.07.16,194.86
174,city,Anchorage,driving,NA,Alaska,United States,X2020.07.17,205.84
174,city,Anchorage,driving,NA,Alaska,United States,X2020.07.18,181.52
174,city,Anchorage,driving,NA,Alaska,United States,X2020.07.19,149.87
174,city,Anchorage,driving,NA,Alaska,United States,X2020.07.20,179.74
174,city,Anchorage,driving,NA,Alaska,United States,X2020.07.21,192.96
174,city,Anchorage,driving,NA,Alaska,United States,X2020.07.22,188
174,city,Anchorage,driving,NA,Alaska,United States,X2020.07.23,198.41
174,city,Anchorage,driving,NA,Alaska,United States,X2020.07.24,201.71
174,city,Anchorage,driving,NA,Alaska,United States,X2020.07.25,174.39
174,city,Anchorage,driving,NA,Alaska,United States,X2020.07.26,154.9
174,city,Anchorage,driving,NA,Alaska,United States,X2020.07.27,185.54
174,city,Anchorage,driving,NA,Alaska,United States,X2020.07.28,187.56
174,city,Anchorage,driving,NA,Alaska,United States,X2020.07.29,185.73
174,city,Anchorage,driving,NA,Alaska,United States,X2020.07.30,198.81
174,city,Anchorage,driving,NA,Alaska,United States,X2020.07.31,217.93
174,city,Anchorage,driving,NA,Alaska,United States,X2020.08.01,182.01
174,city,Anchorage,driving,NA,Alaska,United States,X2020.08.02,149.62
174,city,Anchorage,driving,NA,Alaska,United States,X2020.08.03,185.51
174,city,Anchorage,driving,NA,Alaska,United States,X2020.08.04,188.07
174,city,Anchorage,driving,NA,Alaska,United States,X2020.08.05,194.8
174,city,Anchorage,driving,NA,Alaska,United States,X2020.08.06,186.82
174,city,Anchorage,driving,NA,Alaska,United States,X2020.08.07,210.81
174,city,Anchorage,driving,NA,Alaska,United States,X2020.08.08,187.64
174,city,Anchorage,driving,NA,Alaska,United States,X2020.08.09,153.93
174,city,Anchorage,driving,NA,Alaska,United States,X2020.08.10,180.42
174,city,Anchorage,driving,NA,Alaska,United States,X2020.08.11,172.67
174,city,Anchorage,driving,NA,Alaska,United States,X2020.08.12,184.14
174,city,Anchorage,driving,NA,Alaska,United States,X2020.08.13,190.6
174,city,Anchorage,driving,NA,Alaska,United States,X2020.08.14,210.81
174,city,Anchorage,driving,NA,Alaska,United States,X2020.08.15,190.07
174,city,Anchorage,driving,NA,Alaska,United States,X2020.08.16,158.46
174,city,Anchorage,driving,NA,Alaska,United States,X2020.08.17,184.76
174,city,Anchorage,driving,NA,Alaska,United States,X2020.08.18,178.03
174,city,Anchorage,driving,NA,Alaska,United States,X2020.08.19,179.86
174,city,Anchorage,driving,NA,Alaska,United States,X2020.08.20,182.08
174,city,Anchorage,driving,NA,Alaska,United States,X2020.08.21,205.07
